State,Organization c3,Current Budget c3,Overall 2020 c3 Gap,c3 gap for this upcoming month,Democratic Participation,Voter Protection,Governance Training & Capacity Building,Moving on Bold Policies,Narrative Change,Sustainability,Weighting WITHIN STATE
NTL,Black Voters Matter Capacity Building Institute,"$5,601,000","$3,380,000",,x,,,,,,
NTL,CASA,"$11,211,850","$1,084,000","$45,000.00",,,,,,,
NTL,Color of Change Education Fund,,,,x,,,,x,,
NTL,Fair Count,,,,x,,,,,,
NTL,Latinx Justice Fund,"$1,500,000","$1,000,000",,,,,,x,,
NTL,Make the Road States,-,-,-,,,,,,,
NTL,Mi Familia Vota Education Fund,"$1,400,000",$0,$0.00,,,,,,,
NTL,Mijente Support Committee,"$2,307,900",$0,$0.00,,,,,,,
NTL,Momentum Community,"$1,015,393","$190,000",$0.00,,,,,,,
NTL,National Domestic Workers Alliance,"$2,500,000","$696,000",,x,,,,,,
NTL,People's Action Immigration Campaign,,,,,,,,x,,
NTL,PushBlack,,$0,,x,,,,x,,
NTL,"ReFrame, Fiscal Sponsor Proteus Fund","$3,395,316","$700,000",$0.00,,,,,x,,
NTL,Repairers of the Breach,"$4,531,112","$1,500,000",N/A,,,,,x,,
NTL,Sojourners,"$2,037,770","$572,770",,,,,,x,,
NTL,Truth Fund (Win Black / Pa'lante),,,,,,,,x,,
NTL,United for Respect Education Fund,,"$300,000",$0.00,,,,,,,
NTL,United We Dream Education Fund,,,,,,,,,,
NTL,Pulso Project,,,,,,,,x,,
NTL,Race Class Narrative,Race Class Narrative,,,,,,,x,,
NTL,Kairos,,,,,,,,x,,
NTL,Way to Rise Fellowship Program,$0,$0,,,,,,x,,
NV,Asian Community Development Council,"$1,454,017","$174,000","$15,000.00",,,,,,,1
NV,Progressive Leadership Alliance of Nevada,,,,,,,,,,3
NV,Make the Road Nevada,"$2,250,000","$550,000","$143,750.00",,,,,,,2
PA,Center for Popular Democracy,"$3,703,756","$912,988","$130,427.00",,,,,,,2
PA,Make the Road PA,"$1,500,000","$120,000","$18,000.00",,,,,,,1
TX,MOVE Texas Civic Fund,"$2,702,711","$1,163,194","$507,551.00",x,,x,x,,,2
TX,Planned Parenthood Advocates of Texas,"$463,822","$87,669",$0.00,,,,,,,4
TX,Texas Civil Rights Project,"$2,161,767","$670,796","$95,828.00",x,x,,,,,3
TX,Texas Freedom Network Education Fund,"$4,000,000","$1,550,000","$180,000.00",x,,x,,x,,6
TX,Workers Defense Project,"$2,795,224","$838,872","$838,872.00",x,,x,x,,x,5
TX,Texas Organizing Project Education Fund,,,,x,,x,x,,x,1
VA,New Virginia Majority Education Fund,"$5,119,837",,n/a,x,,,,x,,1
VA,Progress Virginia Education Fund,"$831,639","$60,279",,,,,x,x,,2
VA,CASA,,,,x,,,,,,3
